우리가 만들어 놓은 문장에 대해 평가해보고, 어떤걸 좋다고 생각하는지 파악해서 이를 프레임워크에 반영하는 작업을 해보자				
				
		쓸지 말지 판단		
		문장 다듬기(-요?)		
	131	참지 못하고 욕을 하게 되는 상황은?	내가 가장 화가 나는 건 어떤 상황인가요?	
	132	이 세상에서 욕이 없어진다면		
	133	누군가에게 충고를 해줄 수 있다면 하고 싶은 말	누군가에게 꼭 해주고 싶은 충고의 말은 무엇인가요?	
	134	내가 가장 듣기 싫은 말	내가 가장 듣기 싫은 말은 무엇인가요?	
	135	들어본 중 가장 황당했던 말은?		
	136	내 인생의 좌우명	내 인생의 좌우명은 무엇인가요?	
	137	내가 나에게 해주고 싶은 조언이 있다면?	내가 요즘의 나에게 가장 해주고 싶은 말은 무엇인가요?	
	138	내 마음을 가장 크게 차지하고 있는 불만 사항은?		
	139	말하지 못한 불만이 있나요?	말하지 못한 마음 속 불만이 있나요?	
	140	사소하지만 꼭 고쳤으면 좋겠는 것은?	어쩌면 사소한 일이지만 나에게는 큰 불편으로 다가오는 일이 있나요?	
	141	불만이 있어도 절대 얘기하지 않는 사람 vs 불만이 있으면 무조건 말하는 사람	불만을 절대 표현하지 않는 사람과 무조건 모두 표현하는 사람 중 어떤 사람이 동료로 더 나을까요?	
	142	노동은 왜 해야할까?	내가 일을 하는 이유는 무엇인가요?	
	143	우리는 노동자일까?		
	144	좋아하는 노동요가 있다면?	하기 싫던 일도 해낼 수 있는 힘을 주는 나만의 노동요가 있다면 알려주세요	
	145	노동이 필요없는 세상이 온다면?	노동이 필요 없는 세상이 온다면 어떻게 살아가야 할까요?	
	146	일하지 않아도 된다면 하고 싶은 일?	경제적 자유를 이룬 다음에 하고 싶은 일이 있나요?	
	147	나에게 일의 의미	나에게 일은 어떤 의미인가요?	
	148	지금까지 한 일 중 가장 뿌듯한 일은?	살면서 한 일 중 가장 뿌듯했던 일은 무엇인가요?	
	149	내가 하고 있는 일의 최고인 사람에게 물어보고 싶은 말	내가 일하는 분야에서 최고의 위치에 있는 사람에게 하고 싶은 질문이 있나요?	
	150	보람찬 일 vs 돈 잘 버는 일	수입이 높은 일과 보람이 큰 일 중 하나를 선택해야 한다면 어떤 일을 선택하고 싶은가요?	
	151	좋아하는 일 vs 잘하는 일	좋아하는 일과 잘하는 일중 무엇을 해야 할까요?	
	152	나만의 작업 환경 세팅법	책상을 정리하는 나만의 노하우가 있나요?	
	153	나만의 재택근무 꿀템		
	154	내가 지금의 일을 선택한 이유	지금 하고 있는 일을 선택한 이유가 무엇인가요?	
	155	부자가 된 후에도 일을 할 건가요?	충분한 부를 가지고 있어도, 지금의 일을 계속 할 건가요?	
	156	어린 시절의 꿈	지금 떠오르는 어린 시절의 꿈이 있나요?	
	157	학교에서 하는 공부는 일일까?	학교에서 하는 공부는 나에게 어떤 의미가 있나요?	
	158	가사노동의 가치는?	내가 가장 즐겁게 할 수 있는 집안일은 무엇인가요?	
	159	나의 직업적 롤 모델		
	160	지금 하는 일에서 즐거움을 얻을 수 있나요?		
	161	하는 게 잘 안될때, 기분전환을 위해 하는 것은?	하는 게 잘 풀리지 않을때, 기분전환을 위해 하는 것이 있나요?	
	162	고향이라는 단어를 들으면 무엇이 떠오르나요	고향이라는 단어를 들으면 무엇이 떠오르나요?	
	163	할머니를 떠올릴 때 생각 나는 것은?	할머니에 대해 이야기 해주세요.	
	164	지금 당장 천만원으로 부동산 투자를 한다면?		
	165	우리 동네 풍경에 대해 이야기 해주세요	우리 동네 풍경에 대해 이야기 해주세요.	
	166	가장 그리운 어린시절의 추억에 대해 이야기 해주세요	가장 그리운 어린 시절의 추억에 대해 이야기 해주세요.	
	167	나에게 음식이 주는 행복은?	나에게 가장 큰 행복을 주는 음식은 무엇인가요?	
	168	내가 밥을 먹을때 가장 중요하게 생각하는 것은?	밥 먹을 때 가장 중요하게 생각하는 것은 무엇인가요?	
	169	끼니를 거를 정도로 바빠던 적이 있나요?	끼니를 거를 정도로 바빴던 적이 있나요?	
	170	밥대신 캡슐로 영양을 섭취를 할 수 있다면, 식사를 하지 않을 건가요?	밥 대신 캡슐로 영양을 섭취할 수 있어도, 밥을 계속 먹을건가요?	
	171	오늘 하루를 음식에 비유한다면?	오늘 하루를 음식에 비유한다면, 무엇일까요?	
	172	식사와 끼니 때우기의 차이점은?	식사와 끼니 때우기의 차이는 무엇일까요?	
	173	어릴적 추억이 생각나는 음식은?	어릴적 추억을 떠오르게 하는 음식이 있나요?	
	174	배달음식 중에 가장 좋아하는 음식이 있나요?	배달 음식 중에 가장 좋아하는 음식이 있나요?	
	175	죽기전 마지막 하나의 음식만을 먹을수 있다면, 무엇을 먹을 껀가요?	삶의 마지막 음식으로 선택하고 싶은 것은 무엇인가요?	
	176	채식을 생각해본적이 있나요?	채식을 생각해본적 있나요?	
	177	내 삶에서 음식이 차지하는 비중은 몇 퍼센트나 되나요?		
	178	내가 가장 자신있게 만들수 있는 요리한가지를 알려주세요	가장 자신있게 만들 수 있는 요리를 알려주세요.	
	179	내가 꿈꾸는 이상적인 식사 환경이 있나요?	내가 꿈꾸는 이상적인 식사 환경이 있나요?	
	180	더우면 생각나는 음식이 있나요?	더우면 생각나는 음식이 있나요?	
	181	추우면 생각나는 음식이 있나요?	추우면 생각나는 음식이 있나요?	
	182	나에게 일주일간 먹는데 쓸 수 있는 백만원이 생긴다면, 무엇을 먹을건가요?		
	183	나만이 알고 있는 비밀 맛집이 있나요?	나만이 알고 있는 비밀 맛집이 있나요?	
	184	혼자 있을때 하기 좋아하는 일이 있나요?	혼자 있을 때 하기 좋아하는 일이 있나요?	
	185	혼자가 둘보다 좋은 이유는?	혼자가 둘보다 좋은 이유가 있다면 말해주세요.	
	186	이세상에 나밖에 없다고 느껴지는 순간이 있나요?	이 세상에 나밖에 없다고 느껴지는 순간이 있나요?	
	187	고독과 자립의 차이는 뭔가요?	고독과 자립의 차이는 무엇인가요?	
	188	혼자 뭔가를 해봤던 경험이 있나요?		
	189	혼자서 여행해본 경험이 있나요?	혼자서 여행해본 경험이 있나요?	
	190	독립이란 무엇일까요?	독립이란 무엇일까요?	
	191	언제 부터 부모로 부터 독립해야 한다고 생각하나요?	언제부터 부모로부터 독립해야 한다고 생각하나요?	
	192	나는 혼자 보내는 시간이 필요한 사람일까요?	나는 혼자 보내는 시간이 얼마나 필요할까요?	
	193	가지고 있는 명품이 있나요?	가지고 있는 물건중 가장 애착가는 물건에 대해 말해주세요.	
	194	스스로 마음이 명품인 사람이라고 생각하나요?		
	195	명품을 사는것은 가치있는 일 일가요?		
	196	과정이 최약 + 결과 좋음 vs 과정이 최고 + 결과 앉좋음		
	197	내 인생에서 가장 어려웠던 작업은?	인생에서 가장 어려웠던 작업은 무엇인지 말해주세요.	
	198	결과보다 과정이 소중했던 경험이 있나요?	결과는 좋지 않았지만 과정이 즐거웠던 작업이 있나요?	
	199	나에게 돈이 얼마나 있다면 일을 하지 않을 껀가요?		
	200	내마음의 곳간은 얼마나 차있나요?	내 마음의 곳간은 얼마나 채워져 있나요?	
	201	내 자식에게 물려주고 싶은 한가지가 있나요?	자식에게 가장 물려주고 싶은 한가지를 말해주세요.	
	202	부모님에게 전수받은 인생의 유산이 있나요?	부모님으로부터 받은 인생의 유산이 있나요?	
	203	부모님께 물려받지 못해 아쉬운 한가지가 있나요?	부모님께 물려받지 못해 아쉬운 것을 말해주세요.	
	204	돈 보다 가치있다고 생각하는 것 한가지를 얘기해주세요	돈 보다 가치있다고 생각하는게 있나요?	
	205	이 세상에 돈으로 살 수 없는게 있을까요?	이 세상에 돈으로 살 수 없는게 있을까요?	
	206	나에게 돈이란?	나에게 돈이란?	
	207	내가 가진것 중에 다른 사람이 부러워할만한게 있나요?	내가 가진 것 중에 다른 사람이 부러워 할만한게 있나요?	
	208	잡힐듯 잡히지 않는 꿈이 있나요?		
	209	지금 생각나는 첫만남이 있나요?	지금 생각나는 첫 만남이 있나요?	
	210	지금 생각나는 마지막 만남이 있나요?	지금 생각나는 마지막 만남이 있나요?	
	211	지금이랑 첫인상이 가장 많이 다른 사람이 있나요?	지금이랑 첫인상이 가장 많이 다른 사람이 있나요?	
	212	지금의 나에게 가장 큰 영향을 미친 만남이 있나요?	지금의 나에게 가장 큰 영향을 미친 만남이 있나요?	
	213	누군가를 한시간동안 만날 수 있다면 누구랑 만나고 싶으신가요?	누군가를 한시간동안 만날 수 있다면 누구를 만나고 싶으신가요?	
	214	기약없이 기다리고 있는 일이 있나요?	기약없이 기다리고 있는 일이 있나요?	
	215	꼭 한번 다시 만나고 싶은 인연이 있나요?		
	216	다시는 만나고 싶지 않은 사람이 있나요?	다시는 만나고 싶지 않은 사람이 있나요?	
	217	나에게 새로운 만남은 기대되는 일인가요?	나에게 새로운 만남은 기대되는 일인가요?	
	218	나는 장난을 어디까지 허용하나요?	나는 장난을 어디까지 허용하나요?	
	219	가장 기억에 남는 만우절 이벤트가 있나요?		
	220	장난과 괴롭힘에 차이는 무엇인가요?	장난과 괴롭힘의 차이는 무엇인가요?	
	221	나의 장난으로 일을 그르쳐본 경험이 있나요?	장난으로 일을 그르쳐본 경험이 있나요?	
	222	좋아하는 친구에게 장난치고 싶은 마음은 어떤 마음일까요?		
	223	내가 기대하는 나의 모습은 어떤 모습인가요?	내가 기대하는 나의 모습은 무엇인가요?	
	224	내 기대를 저버렸던 사건이 있나요?		
	225	기대보다 결과가 좋았던 적이 있나요?	기대보다 결과가 좋았던 적이 있나요?	
	226	많은 기대를 받아 오히려 부담스러웠던 적이 있나요?	많은 기대를 받아 부담스러웠던 적이 있나요?	
	227	주변 사람들이 나에게 보통 하는 기대는 무엇인가요?	주변 사람들이 나에게 보통 하는 기대는 무엇인가요?	
	228	지금 가장 기대하고 있는 일이 있나요?	지금 가장 기대하고 있는 일이 있나요?	
	229	내가 이룬 것 중 가장 뿌듯했던 일	스스로 이룬 것 중 가장 뿌듯했던 일은 무엇인가요?	
	230	최고의 성과를 이루기 위해 무엇이 필요할까요	최고의 성과를 이루기 위해 무엇이 필요할까요?	
	231	좋아하는 계절에 대해 얘기해주세요	좋아하는 계절에 대해 얘기해주세요.	
	232	여름하면 떠오르는 것에 대해 얘기해주세요		
	233	지금 당신의 마음은 어떤 계절인가요?	지금 나의 마음은 어떤 계절인가요?	
	234	일년 내내 하나의 계절이라면 어떤 계절이고 싶나요?	일년 내내 하나의 계절이라면 어떤 계절에 살고 싶나요?	
	235	나를 하나의 계절에 비유한다면		
	236	내가 가장 좋아하는 날씨	가장 좋아하는 날씨에 대해 말해주세요.	
	237	다가오는 봄에 가장 하고 싶은 것 한가지를 얘기해주세요	봄이면 가장 하고 싶은 것에 대해 말해주세요.	
	238	내 봄의 BGM은?		
	239	일년중 가장 좋아하는 달이 있나요?	일년 중 가장 좋아하는 달이 있나요?	
	240	나만의 여름나기 비법?		
	241	코로나가 끝나면 만끽하고 싶은 것은?	코로나가 끝나면 만끽하고 싶은 것은 무엇인가요?	
	242	해야하는데 무서워서 하지 못하는 일이 있나요?	해야하는데 무서워서 하지 못하는 일이 있나요?	
	243	끙끙 앓다가 제시간 처리하지 못한 일이 있나요?	끙끙 앓다가 처리하지 못한 일이 있나요?	
	244	지금도 눈감으면 떠오르는 내마음의 풍경이 있나요?	눈감으면 떠오르는 풍경이 있나요?	
	245	내방에 걸어두고 싶은 풍경이 있나요?		
	246	나는 어떤 풍경 속에서 살고 싶나요?	나는 어떤 풍경 속에 살고 싶은지 말해주세요.	
	247	응원하는 스포츠 팀에 대해 말해주세용	응원하는 스포츠 팀에 대해 말해주세요.	
	248	스스로에게 응원을 해준다면 하고 싶은 말은?	스스로에게 응원을 해준다면 하고 싶은 말은 무엇인가요?	
	249	들으면 가장 힘이 나는 응원이 있나요?	들으면 가장 힘이나는 응원이 있나요?	
	250	지금 가장 응원하고 싶은 일은 무엇인가요?	지금 가장 응원하고 싶은 일은 무엇인가요?	
	251	누구보다 잘 되길 바라는 사람이 있나요	누구보다 잘 되길 바라는 사람이 있나요?	
	252	아는 사람중에 손절하고 싶은 사람이 있나요?	아는 사람중에 손절하고 싶은 사람이 있나요?	
	253	손절해서 후련했던 적 있나요?	손절해서 후련했던 적 있나요?	
	254	손절하고 아쉬웠던 적 있나요?	손절하고 아쉬웠던 적 있나요?	
	255	내 마음의 그림자에 대해 이야기 해줄 수 있나요?	내 마음의 그림자에 대해 이야기 해줄 수 있나요?	
	256	다른 사람들을 피해 숨고 싶었던 적 있나요?	다른 사람들을 피해 숨고 싶었던 적이 있나요?	
	257	내가 여러 명이 될 수 있다면 어떤 일을 할 건가요?	내가 여러 명이 될 수 있다면 어떤 일을 한건가요?	
	258	입원 했던 적이 있나요?	입원 했던 적이 있나요?	
	259	병원이라는 말을 들으면 떠오르는 것은?	나에게 병원이란?	
	260	누구가를 위해 병문안을 간적 있나요?	지금 생각 나는 병문안 경험이 있나요?	
	261	내가 가진 병중에 한가지를 고칠 수 있다면?		
	262	미리 유언장을 써본다면?	미리 유언장을 써볼 수 있을까요?	
	263	운명은 존재할까요?	운명은 존재할까요?	
	264	내가 생각 하는 나의 운명은?	내가 생각하는 나의 운명이 있나요?	
	265	나의 운명을 바꾸기 위해 내가 할 수 있는 일은 무엇일까요?	나의 운명을 바꾸기 위해 내가 할 수 있는 일은 무엇일까요?	
	266	신(or 자연)이 나를 만든 이유는 무엇일까요?	내가 세상에 태어난 이유는 무엇일까요?	
